hogar,date_only,consumo_medio,consumo_std,consumo_min,consumo_max,consumo_total,z
MANA,2024-08-05,0.8765000000000001,0.8616222818159586,0.07,2.551,21.036,4.158884228834708
MANA,2024-08-06,0.7322500000000001,0.7699023229972239,0.078,2.006,17.574,3.1312847115583233
MANA,2024-08-08,0.7143333333333333,0.686614926994028,0.07,1.868,17.144,3.0036510337914692
MANA,2024-08-09,0.852875,0.8208690152621131,0.059,2.184,20.469,3.9905858676863226
MANA,2024-08-10,0.8252916666666666,0.8552462385904941,0.075,2.17,19.807,3.794089368426655
MANA,2025-06-27,0.8949166666666666,0.7824672748632264,0.064,2.163,21.477999999999998,4.290079776678774
MBGV,2024-08-01,0.406625,0.4648581656058488,0.086,1.74,9.759,3.007773950418999
MTTA,2024-07-20,0.7155833333333333,0.7308423321707314,0.103,2.655,17.174,3.113172520512384
MTTA,2024-07-30,0.7235,0.5675386215549756,0.134,2.46,17.364,3.1757190945060216
MTTA,2024-08-06,0.770375,0.6502897556507774,0.207,2.582,18.489,3.5460606510472963
MTTA,2024-12-24,0.9455833333333333,0.7918439084581751,0.064,2.424,22.694,4.930315091274904
MTTA,2025-06-23,0.7525833333333334,0.6567340747422324,0.147,2.335,18.062,3.4054954558089636
MTTA,2025-06-30,0.7392608695652174,0.7557975448847098,0.093,2.338,17.003,3.0568806039181102
PAA,2024-11-30,0.8886666666666666,0.7700977728250775,0.17,2.388,21.328,3.7245759806107444
PAA,2024-12-01,0.8535833333333334,0.7739993774105276,0.068,3.107,20.486,3.4988730783840887
PAA,2025-06-28,0.9916666666666667,1.029877310829945,0.061,3.853,23.8,4.38720967930943
RFM,2025-02-23,0.2843333333333333,0.3105209741101538,0.083,1.501,6.824,3.0083297886750318
RTF,2025-01-06,0.6965833333333333,0.685473490221979,0.071,2.986,16.718,3.7227592613763734
