hogar,dayofweek,mean,median,min,max,std,sum,p25,p50,p75,skew,kurt,n_obs,cv
FJAG,3,0.397948637820512,0.2695,0.0530999999999473,4.259,0.4713169990896374,496.639899999999,0.176,0.2695,0.414,4.190993600453222,20.202479018859947,1248,1.1843664088686163
FJAG,4,0.4668600961538435,0.296,0.0720999999999474,4.467,0.5825112230250251,582.6413999999967,0.183,0.296,0.47024999999999995,3.6480920682494764,14.896833704628524,1248,1.2477211649141917
FJAG,5,0.480998237179486,0.312,0.0290999999999472,4.041,0.5089039120708619,600.2857999999985,0.18075,0.312,0.594,3.0033782310354527,11.026945653215328,1248,1.0580161687390195
FJAG,6,0.46719542902967004,0.295,0.0210999999999472,4.246,0.48071425660569794,582.5926999999986,0.18,0.295,0.5954999999999999,3.0188301062827323,11.62411989114037,1247,1.0289361297992694
FMB,0,0.24828245476003147,0.16,0.0,3.138,0.3193499618118733,315.567,0.056,0.16,0.2695,3.0449548787497815,12.17020210648485,1271,1.2862365249309686
FMB,1,0.22679647435897435,0.157,0.023,2.0,0.2699361953546428,283.042,0.056,0.157,0.25925,3.0062445997564446,11.200874468374012,1248,1.190213366929976
FMB,2,0.21253285256410256,0.142,0.023,2.222,0.24902318332322732,265.241,0.055,0.142,0.25,2.9517334226255874,11.330416626433363,1248,1.1716926598353485
FMB,3,0.19224358974358974,0.122,0.022,1.846,0.22454442865506702,239.92,0.053,0.122,0.245,3.1998171795426793,13.261088939881503,1248,1.1680203691293916
FMB,4,0.20011378205128205,0.125,0.023,1.814,0.22083699831763076,249.742,0.053,0.125,0.251,2.459325559426799,7.713267860752353,1248,1.1035571665975414
FMB,5,0.2079110576923077,0.104,0.022,2.145,0.27657722539968205,259.473,0.05,0.104,0.245,3.0199519410408144,11.14552276121942,1248,1.3302670308617974
FMB,6,0.21833520449077787,0.097,0.023,2.683,0.31274983706067533,272.264,0.05,0.097,0.2515,3.3626427335397953,14.589285540852696,1247,1.4324297256143381
GPC,0,0.15727065302911092,0.099,0.0,2.132,0.17904571381113857,199.891,0.065,0.099,0.163,3.816041366717637,22.057057323548953,1271,1.138455969773312
GPC,1,0.1734326923076923,0.107,0.027,1.691,0.19618253358667223,216.444,0.069,0.107,0.17625,3.0561030331643457,12.224065759884134,1248,1.1311738921668744
GPC,2,0.17611458333333332,0.1035,0.025,2.141,0.2058680734949193,219.791,0.066,0.1035,0.18325,3.2831498690972736,15.014727336847901,1248,1.1689439318336934
GPC,3,0.17099358974358975,0.099,0.027,1.853,0.20700639389169417,213.4,0.066,0.099,0.174,3.486715928112678,15.876201948959224,1248,1.2106090889261214
GPC,4,0.1582940705128205,0.0955,0.026,1.616,0.18630791931320204,197.551,0.063,0.0955,0.1535,3.256678897708428,13.403452015155892,1248,1.1769734564890897
GPC,5,0.17507371794871793,0.095,0.026,1.721,0.21972226621945537,218.492,0.064,0.095,0.17325,3.072362370940822,10.857374086613197,1248,1.2550271325351974
GPC,6,0.17908740978348037,0.101,0.026,2.236,0.21793252499641055,223.322,0.067,0.101,0.1895,3.471802661115921,16.937837314225703,1247,1.216905896734419
JACL,0,0.1553477576711251,0.105,0.0,1.385,0.19691595851380084,197.447,0.067,0.105,0.147,3.6399303305577955,13.843103880798651,1271,1.26758159542075
JACL,1,0.15103285256410257,0.103,0.035,1.193,0.1851045428473174,188.489,0.067,0.103,0.143,3.570780587210755,13.30556656966715,1248,1.2255912518685552
JACL,2,0.1526955128205128,0.105,0.035,1.584,0.18997820812621716,190.564,0.067,0.105,0.14625,3.720292436962188,14.943195339727154,1248,1.2441636601956247
JACL,3,0.1487019230769231,0.103,0.035,1.237,0.1867694055200682,185.58,0.065,0.103,0.141,3.635256216270752,13.655640101801954,1248,1.255998588689757
JACL,4,0.1505272435897436,0.102,0.035,1.285,0.1868755446413961,187.858,0.066,0.102,0.142,3.4666465520980574,12.315222844208673,1248,1.2414732388956677
JACL,5,0.1505945512820513,0.1025,0.035,1.281,0.1977383244144147,187.942,0.064,0.1025,0.142,3.814865285764267,14.917046717395475,1248,1.3130509884389308
JACL,6,0.1618909382518043,0.103,0.036,1.322,0.21300662611040053,201.878,0.066,0.103,0.143,3.3039950699484413,10.783617382937017,1247,1.3157415011029903
JALG,0,0.2887199055861527,0.191,0.0,1.649,0.2635017373374103,366.963,0.125,0.191,0.356,2.1009817416796244,4.767078625099268,1271,0.9126552490464935
JALG,1,0.28085016025641024,0.1885,0.053,1.633,0.2514414562441485,350.501,0.125,0.1885,0.3455,2.1319902230939665,4.9403974768828816,1248,0.895286853369027
JALG,2,0.28185336538461536,0.188,0.057,1.888,0.2466835551795921,351.753,0.12375,0.188,0.347,2.0536105062154197,4.846649894899279,1248,0.8752194774859943
JALG,3,0.285161858974359,0.196,0.06,1.394,0.23932871454181978,355.882,0.12875,0.196,0.36124999999999996,1.8502059906399035,3.4906474784924253,1248,0.8392732303072117
JALG,4,0.2799190705128205,0.185,0.047,1.822,0.24827626247169507,349.339,0.127,0.185,0.346,2.1862057589572217,5.381660417900989,1248,0.8869572981106474
JALG,5,0.26807852564102563,0.176,0.032,1.725,0.2509586053024894,334.562,0.11875,0.176,0.31,2.386565303110374,6.609260774157395,1248,0.9361384120656464
JALG,6,0.3200697674418605,0.196,0.05,2.34,0.29058109286925726,399.127,0.128,0.196,0.427,1.8897354018785422,4.322267555102608,1247,0.9078679788838234
JLG,0,0.16597797010228166,0.097,0.0,1.355,0.21288337604840357,210.958,0.056,0.097,0.1665,3.154238223669248,10.581388763504973,1271,1.2826001903578956
JLG,1,0.15125160256410256,0.094,0.039,1.346,0.17742919795265558,188.762,0.055,0.094,0.159,3.2903814788022165,12.7624011090883,1248,1.1730731770425942
JLG,2,0.16414583333333335,0.0945,0.037,1.648,0.20019554886498234,204.854,0.055,0.0945,0.162,3.04690911498053,10.812168256419563,1248,1.2196200463915663
JLG,3,0.15484695512820512,0.086,0.037,1.358,0.18503250926663894,193.249,0.054,0.086,0.16025,3.0195624860528776,10.459948337922816,1248,1.1949379896649681
JLG,4,0.15192708333333332,0.086,0.035,1.28,0.18071473611663752,189.605,0.054,0.086,0.157,3.0385123482697147,10.447218611175556,1248,1.189483350510607
JLG,5,0.16338221153846155,0.092,0.038,2.256,0.20337411393932697,203.901,0.054,0.092,0.161,3.258222134773834,15.215016991998084,1248,1.2447751320311329
JLG,6,0.1521082598235766,0.092,0.036,1.637,0.18510309561744773,189.679,0.055,0.092,0.1535,3.475785357536617,14.677686502211433,1247,1.216916792238241
JMM,0,0.24670495672698664,0.19,0.0,4.65,0.26786246670614344,313.562,0.12,0.19,0.275,8.627074870153125,118.58443444359679,1271,1.0857603765236485
JMM,1,0.2655512820512821,0.199,0.071,1.88,0.2326792050102999,331.408,0.12,0.199,0.30825,2.956390462376348,10.978335860317952,1248,0.8762119437456375
JMM,2,0.2661786858974359,0.191,0.065,5.298,0.3396873428619281,332.191,0.125,0.191,0.284,8.456648931378469,100.28997682821945,1248,1.2761628216649046
JMM,3,0.260525641025641,0.192,0.068,2.016,0.2282789925943545,325.136,0.126,0.192,0.299,3.2886668677629567,14.618913866428933,1248,0.8762246652408666
JMM,4,0.2755328525641026,0.198,0.061,4.329,0.31339304939743223,343.865,0.126,0.198,0.29225,6.2221083155675325,59.86599878833254,1248,1.1374071965684074
JMM,5,0.3517668269230769,0.2005,0.062,4.885,0.5705366254814372,439.005,0.13,0.2005,0.323,5.42880273022211,33.602624086163765,1248,1.621917082039689
JMM,6,0.290598235765838,0.195,0.064,5.359,0.3440159573412146,362.376,0.127,0.195,0.3045,6.053748276576092,62.475688136737546,1247,1.1838198412822445
LFZA,0,0.15362313139260425,0.099,0.0,1.78,0.19357991387297527,195.255,0.074,0.099,0.145,4.212963541595107,21.95855641527242,1271,1.2600961334283454
LFZA,1,0.15134294871794873,0.104,0.009,1.656,0.1788971364202497,188.876,0.072,0.104,0.149,4.122077013402059,21.53872235896041,1248,1.1820645622126242
LFZA,2,0.1561033653846154,0.104,0.0,1.51,0.18754569753926506,194.817,0.07575,0.104,0.148,3.7120593983300814,16.10933500296113,1248,1.2014199506665373
LFZA,3,0.1598044871794872,0.106,0.008,1.785,0.1918281823915363,199.436,0.075,0.106,0.15625,3.7867665479865726,17.58159749035444,1248,1.2003929662881188
LFZA,4,0.17359935897435896,0.104,0.01,1.91,0.22763715990002906,216.652,0.073,0.104,0.15825,3.5153130888657844,14.617061592812973,1248,1.3112788045124728
LFZA,5,0.15253846153846154,0.101,0.01,2.596,0.20206566011440652,190.368,0.075,0.101,0.141,5.405873786092115,41.372530760346336,1248,1.3246866270737694
LFZA,6,0.14207698476343222,0.098,0.009,1.443,0.17317488217111074,177.17,0.072,0.098,0.1375,4.1065858251242275,19.156997602468124,1247,1.218880612222019
MANA,0,0.2918481510621558,0.182,0.0,2.551,0.32501733653718884,370.939,0.114,0.182,0.3405,3.4408414418070046,14.135541876401454,1271,1.1136522035665353
MANA,1,0.3006426282051282,0.202,0.046,2.016,0.3220097706459901,375.202,0.11875,0.202,0.338,3.1472789936122174,11.546759158841155,1248,1.0710715661595505
