hogar,month_year,mean,median,min,max,std,sum,p25,p50,p75,skew,kurt,n_obs,cv
MTTA,2025-02,0.29036904761904764,0.222,0.057,2.106,0.241577529267686,195.12800000000001,0.13875,0.222,0.34524999999999995,2.5279871021007967,9.374152883362306,672,0.8319672198140963
MTTA,2025-03,0.3048575268817204,0.255,0.065,1.352,0.18243541196681443,226.814,0.2,0.255,0.35924999999999996,1.9735397444727456,5.178509028672982,744,0.5984284325628486
MTTA,2025-04,0.26597777777777776,0.22,0.0,1.327,0.19715784306660625,191.504,0.119,0.22,0.31625000000000003,1.8662461896768043,4.147206221361864,720,0.7412568249642645
MTTA,2025-05,0.29311290322580646,0.249,0.081,1.638,0.20973137506161116,218.076,0.14275,0.249,0.338,2.01639853088043,5.14711911627967,744,0.7155310215055242
MTTA,2025-06,0.4335452016689847,0.272,0.0,2.338,0.4026328052689628,311.719,0.145,0.272,0.652,2.1116555811695177,5.603777562688865,719,0.9286985618085014
PAA,2024-07,0.2142459677419355,0.079,0.048,2.226,0.3186316428198256,159.399,0.056,0.079,0.20725,3.153724848778045,11.214590007561904,744,1.4872235224684611
PAA,2024-08,0.2681586021505376,0.1165,0.045,2.663,0.3587746854867155,199.51,0.063,0.1165,0.366,2.8234909604703122,9.313281318630315,744,1.3379197333573072
PAA,2024-09,0.23370416666666666,0.141,0.048,1.266,0.22176159681978563,168.267,0.07875,0.141,0.302,1.8504516165304885,3.3975543556010583,720,0.9488987722503264
PAA,2024-10,0.2803593539703903,0.154,0.047,2.391,0.31549746166763304,208.307,0.071,0.154,0.375,2.5563960195564124,9.119635166160913,743,1.1253323893054548
PAA,2024-11,0.3709763888888889,0.196,0.047,2.511,0.4205781149358815,267.103,0.07275,0.196,0.52125,2.002210172277615,4.4717286609951845,720,1.1337058840740637
PAA,2024-12,0.45528763440860215,0.234,0.042,3.107,0.5291908606100565,338.734,0.075,0.234,0.65475,1.9666113242591892,4.270848183375745,744,1.1623220588836138
PAA,2025-01,0.3949690860215053,0.2025,0.044,2.843,0.46583084327655927,293.85699999999997,0.071,0.2025,0.5495000000000001,2.089408001168722,4.923121877281809,744,1.1794108950876112
PAA,2025-02,0.332,0.18,0.043,2.548,0.37264334702696306,223.104,0.063,0.18,0.475,1.9474391306533385,4.4831467385836,672,1.122419719960732
PAA,2025-03,0.34165725806451613,0.1755,0.006,2.425,0.4088266926266513,254.193,0.064,0.1755,0.4545,2.101739735494319,4.657415767594712,744,1.1965988808276724
PAA,2025-04,0.2603902777777778,0.1455,0.0,3.048,0.30521557016725676,187.481,0.067,0.1455,0.334,2.991407431599956,14.833878698142069,720,1.1721465669610514
PAA,2025-05,0.21557795698924728,0.122,0.039,1.536,0.21543009495481466,160.39,0.069,0.122,0.28625,2.069618415117728,5.311235103948118,744,0.9993141133885038
PAA,2025-06,0.3515702364394993,0.121,0.046,3.853,0.49387945283422996,252.779,0.076,0.121,0.3905,2.5131257501209445,7.450845414486912,719,1.4047817523916597
RFM,2024-07,0.13519489247311828,0.127,0.079,0.71,0.050611426324013095,100.58500000000001,0.111,0.127,0.141,5.479295735691752,43.62726957246885,744,0.3743590116326067
RFM,2024-08,0.10820967741935483,0.114,0.0,0.342,0.05347719719231615,80.508,0.102,0.114,0.13525,-0.5375265453486489,1.2733771486239824,744,0.4941997653783875
RFM,2024-09,0.1315902777777778,0.106,0.082,0.671,0.07590809658058492,94.745,0.095,0.106,0.137,3.8094085220239555,17.75951645300286,720,0.5768518606577776
RFM,2024-10,0.09464468371467025,0.086,0.075,0.839,0.037306087976839326,70.321,0.083,0.086,0.091,12.00998685040707,216.46463555460403,743,0.394169926007759
RFM,2024-11,0.091925,0.081,0.068,1.059,0.05505195358822783,66.186,0.078,0.081,0.085,10.584136275348612,152.00613135461606,720,0.5988790164615483
RFM,2024-12,0.14598252688172045,0.097,0.065,1.318,0.1297291866721947,108.611,0.078,0.097,0.16225,4.186286539611571,24.774852958524452,744,0.8886624272321667
RFM,2025-01,0.15096908602150538,0.096,0.063,0.944,0.13209980468195287,112.321,0.078,0.096,0.16625,3.06161984403117,11.045174703542767,744,0.8750122833964524
RFM,2025-02,0.1871800595238095,0.124,0.069,1.754,0.17486402301972595,125.785,0.092,0.124,0.2065,3.7644499086023244,20.36635103720641,672,0.9342021979509151
RFM,2025-03,0.1958024193548387,0.1365,0.09,1.433,0.15828174768301517,145.677,0.105,0.1365,0.21025,3.1552347501879763,13.136907138927672,744,0.8083748311412461
RFM,2025-04,0.10966388888888888,0.083,0.0,1.431,0.1020331879051642,78.958,0.079,0.083,0.1,7.735296726425063,79.24913323322536,720,0.9304173774882626
RFM,2025-05,0.1173991935483871,0.09,0.077,0.947,0.09038293321069349,87.345,0.083,0.09,0.111,5.218014260920428,33.089204930940525,744,0.7698769512708907
RFM,2025-06,0.12938942976356052,0.121,0.096,1.188,0.05602425558648485,93.031,0.111,0.121,0.127,12.056412661038646,198.88774064362852,719,0.4329894311216971
RTF,2024-07,0.27124059139784945,0.1745,0.088,2.045,0.24536907661850738,201.803,0.12675,0.1745,0.31325000000000003,2.9569616806177605,11.215470458412968,744,0.9046178352361932
RTF,2024-08,0.17535618279569892,0.105,0.078,1.547,0.18101316702759743,130.465,0.094,0.105,0.16425,3.8821396548488214,18.63255334145105,744,1.0322599645003065
RTF,2024-09,0.2955361111111111,0.1645,0.08,2.369,0.31122577671291607,212.786,0.10875,0.1645,0.36024999999999996,2.628783429699386,8.554918996426151,720,1.0530888274289643
RTF,2024-10,0.29027456258411843,0.176,0.076,2.096,0.27630368754016327,215.674,0.105,0.176,0.3665,2.321209824108081,7.047950451840709,743,0.951870136605902
RTF,2024-11,0.31029444444444443,0.204,0.074,2.191,0.29190305890249113,223.412,0.097,0.204,0.3955,2.1085725929599035,6.078646301033057,720,0.9407292464585323
RTF,2024-12,0.36692876344086023,0.239,0.071,2.459,0.350548106156769,272.995,0.107,0.239,0.498,1.8522993399947576,3.968846170293374,744,0.9553573910900791
RTF,2025-01,0.4014314516129033,0.2575,0.07,2.986,0.39950222140118896,298.665,0.107,0.2575,0.56025,2.1095920572567874,6.3144187636662465,744,0.9951941229219512
RTF,2025-02,0.3649315476190476,0.222,0.067,2.17,0.3477474863090502,245.234,0.104,0.222,0.53325,1.8104719347065,4.035704035485058,672,0.9529115489682579
RTF,2025-03,0.36449059139784945,0.2515,0.067,2.162,0.3283167026614497,271.181,0.10875,0.2515,0.511,1.6779178002108641,3.2280715676144114,744,0.9007549451477743
RTF,2025-04,0.3616361111111111,0.2195,0.0,2.218,0.3684193403949729,260.378,0.10175,0.2195,0.5025,2.1833830087325894,5.62276946861509,720,1.0187570573718998
RTF,2025-05,0.31313709677419355,0.205,0.073,1.883,0.28376388687448767,232.974,0.115,0.205,0.39425,2.0631156753137785,4.819087201358334,744,0.9061969654751982
RTF,2025-06,0.2711001390820584,0.165,0.088,2.031,0.25215164555033354,194.921,0.119,0.165,0.3005,2.7950487169786506,10.33549671023979,719,0.9301051869767231
