ventana,,0,1,2
2024-07-01_a_2025-06-30_KMeans_k3_profile,Domingo,0.17237811609686607,0.3049488324175824,0.4669228365384604
2024-07-01_a_2025-06-30_KMeans_k3_profile,Entre semana,0.17047391381766377,0.28788257783882776,0.4059427403846141
2024-07-01_a_2025-06-30_KMeans_k3_profile,Fin de semana,0.17030577813390313,0.30272985347985343,0.4739605368589731
2024-07-01_a_2025-06-30_KMeans_k3_profile,s_Mañana,223.34344444444443,368.0514285714286,457.4296999999991
2024-07-01_a_2025-06-30_KMeans_k3_profile,s_Mediodia,475.2828888888889,807.4914285714286,1194.8484999999928
2024-07-01_a_2025-06-30_KMeans_k3_profile,s_Tarde,296.9957777777778,498.54085714285713,1008.7223999999989
2024-07-01_a_2025-06-30_KMeans_k3_profile,s_Noche,286.9135555555556,552.2207142857143,601.1572999999999
2024-07-01_a_2025-06-30_KMeans_k3_profile,s_Madrugada,206.30477777777776,325.6965714285715,453.9302999999988
2024-07-01_a_2025-06-30_KMeans_k3_profile,s_Lunes,212.49677777777777,362.42085714285713,461.2712999999993
2024-07-01_a_2025-06-30_KMeans_k3_profile,s_Martes,212.5288888888889,369.10814285714287,489.2516999999986
2024-07-01_a_2025-06-30_KMeans_k3_profile,s_Miércoles,218.64955555555557,360.72371428571427,503.2783999999987
2024-07-01_a_2025-06-30_KMeans_k3_profile,s_Jueves,215.6228888888889,354.88357142857143,496.639899999999
2024-07-01_a_2025-06-30_KMeans_k3_profile,s_Viernes,204.45911111111113,349.25100000000003,582.6413999999967
2024-07-01_a_2025-06-30_KMeans_k3_profile,s_Sábado,209.95533333333333,375.0375714285714,600.2857999999985
2024-07-01_a_2025-06-30_KMeans_k3_profile,s_Domingo,215.1278888888889,380.5761428571428,582.7196999999986
2024-07-01_a_2025-06-30_KMeans_k3_profile,s_Entre semana,1063.7572222222223,1796.3872857142856,2533.082699999992
2024-07-01_a_2025-06-30_KMeans_k3_profile,s_Fin de semana,425.0832222222222,755.6137142857143,1183.005499999997
2024-07-01_a_2025-06-30_KMeans_k3_profile,s_invierno,377.2486666666666,722.4427142857143,796.8919999999958
2024-07-01_a_2025-06-30_KMeans_k3_profile,s_otoño,342.36744444444446,564.4915714285714,737.2223999999977
2024-07-01_a_2025-06-30_KMeans_k3_profile,s_primavera,350.0504444444444,611.347,929.829599999998
2024-07-01_a_2025-06-30_KMeans_k3_profile,s_verano,419.1738888888889,653.7197142857143,1252.144199999998
2024-07-01_a_2025-06-30_KMeans_k3_profile,std_Mañana,0.04055097611209305,0.08478767008775269,0.1497517847744676
2024-07-01_a_2025-06-30_KMeans_k3_profile,std_Mediodia,0.049402448813721384,0.07214887567595671,0.1286847765744234
2024-07-01_a_2025-06-30_KMeans_k3_profile,std_Tarde,0.03443754700308139,0.0588113094757552,0.0395185058128005
2024-07-01_a_2025-06-30_KMeans_k3_profile,std_Noche,0.05623610448062934,0.09053160862980388,0.1024855874900087
2024-07-01_a_2025-06-30_KMeans_k3_profile,std_Madrugada,0.02078156095113913,0.0448272408660303,0.0695830378688805
2024-07-01_a_2025-06-30_KMeans_k3_profile,std_Lunes,0.18931267467732327,0.3180823896875105,0.4189462042102544
2024-07-01_a_2025-06-30_KMeans_k3_profile,std_Martes,0.1860146878912095,0.315447140297408,0.4463680339037256
2024-07-01_a_2025-06-30_KMeans_k3_profile,std_Miércoles,0.19258089139226586,0.32418776676451283,0.4328892904670676
2024-07-01_a_2025-06-30_KMeans_k3_profile,std_Jueves,0.18923095542369076,0.2976825319263584,0.4713169990896374
2024-07-01_a_2025-06-30_KMeans_k3_profile,std_Viernes,0.18136638156843465,0.31405189296668634,0.5825112230250251
2024-07-01_a_2025-06-30_KMeans_k3_profile,std_Sábado,0.200834526347345,0.37322978884978364,0.5089039120708619
2024-07-01_a_2025-06-30_KMeans_k3_profile,std_Domingo,0.20618153158014751,0.3414798050339429,0.4806179537983976
2024-07-01_a_2025-06-30_KMeans_k3_profile,std_Entre semana,0.18872650447614459,0.3148430869144592,0.475013422948519
2024-07-01_a_2025-06-30_KMeans_k3_profile,std_Fin de semana,0.20430892543326357,0.35988219429170215,0.4949138934694099
2024-07-01_a_2025-06-30_KMeans_k3_profile,std_invierno,0.20226515827307884,0.35153538347192476,0.4119893505254606
2024-07-01_a_2025-06-30_KMeans_k3_profile,std_otoño,0.1624676446785933,0.26272717030504195,0.3381941640770383
2024-07-01_a_2025-06-30_KMeans_k3_profile,std_primavera,0.17179111860741053,0.2760792759533924,0.2591024152854334
2024-07-01_a_2025-06-30_KMeans_k3_profile,std_verano,0.19972839473876702,0.3585581599603448,0.7387112896032166
2024-07-01_a_2025-06-30_KMeans_k3_profile,Enero,133.6418888888889,246.4854285714286,288.37159999999864
2024-07-01_a_2025-06-30_KMeans_k3_profile,Febrero,110.443,217.8867142857143,240.8311999999989
