estrategia,algoritmo,k,silhouette,davies_bouldin,calinski_harabasz
estacion_verano,GMM,5,0.2981777597306016,0.5306730779029258,17.11453817741167
estacion_otono,KMeans,2,0.3608870551581023,1.024278771602348,11.943093946601019
estacion_otono,KMeans,3,0.3294720425868855,0.8092960842447763,11.285368436172014
estacion_otono,KMeans,4,0.24145475855505658,0.9560269317270053,10.079449913846908
estacion_otono,KMeans,5,0.2706654402571035,0.7562522280902028,13.91293700148542
estacion_otono,Agglomerative,2,0.3608870551581023,1.024278771602348,11.943093946601019
estacion_otono,Agglomerative,3,0.34061043192688845,0.8147719365306755,11.268965217115472
estacion_otono,Agglomerative,4,0.3337793669974125,0.5920739790550207,12.34080785787943
estacion_otono,Agglomerative,5,0.2706654402571035,0.7562522280902028,13.91293700148542
estacion_otono,GMM,2,0.3608870551581023,1.024278771602348,11.943093946601019
