hogar,date_only,consumo_medio,consumo_std,consumo_min,consumo_max,consumo_total,z
FJAG_Consumos_2023-01_2024-12,2024-06-06,1.9129565217391302,2.0404167684404104,0.125,5.025,43.998,3.8235027616146953
FJAG_Consumos_2023-01_2024-12,2024-06-16,2.2224782608695652,2.3289438860792524,0.147,5.272,51.117000000000004,4.632569807014495
FJAG_Consumos_2023-01_2024-12,2024-07-14,2.196304347826087,2.155228218980377,0.149,5.324,50.515,4.5641531247093
FJAG_Consumos_2023-01_2024-12,2024-07-31,2.2026086956521738,2.107371213343781,0.156,5.326,50.66,4.58063222592899
FJAG_Consumos_2023-01_2024-12,2024-08-17,1.876782608695652,2.234858160163063,0.138,5.161,43.166,3.728946815305855
FJAG_Consumos_2023-01_2024-12,2024-08-31,1.6682608695652172,2.083098680013008,0.144,5.277,38.37,3.1838863363428778
FJAG_Consumos_2023-01_2024-12,2024-09-13,1.6996956521739128,2.0807949187921295,0.108,5.048,39.092999999999996,3.2660545444934685
FJAG_Consumos_2023-01_2024-12,2024-09-26,1.6936086956521736,2.2913136910580443,0.113,5.244,38.952999999999996,3.250143688143423
FJAG_Consumos_2023-01_2024-12,2024-10-04,1.7881304347826086,2.242058739485732,0.115,5.223,41.126999999999995,3.4972165574648395
FJAG_Consumos_2023-01_2024-12,2024-11-01,2.205391304347826,2.321255630807885,0.092,5.243,50.724,4.587905760260439
FJAG_Consumos_2023-01_2024-12,2024-11-26,1.821304347826087,2.2534742960952663,0.092,5.198,41.89,3.5839307245725864
FJAG_Consumos_2023-01_2024-12,2024-12-13,1.685695652173913,2.126363892461038,0.099,5.223,38.771,3.2294595748883648
FJAG_Consumos_2023-01_2024-12,2024-12-15,1.7186521739130436,2.0836463146193687,0.096,5.2,39.529,3.3156054971264672
FJAG_Consumos_2023-01_2024-12,2024-12-20,1.681304347826087,2.2372911468759105,0.111,5.156,38.67,3.2179810285215464
FMB_Consumos_2023-03_2025-06,2023-08-13,0.48821739130434777,0.23945524473113763,0.168,1.071,11.229,3.637569675385093
FMB_Consumos_2023-03_2025-06,2023-08-25,0.564608695652174,0.1797821254970063,0.078,0.849,12.986,4.599194660209008
FMB_Consumos_2023-03_2025-06,2024-04-23,0.446695652173913,0.42221918422271115,0.028,1.331,10.274,3.1148879107255376
FMB_Consumos_2023-03_2025-06,2024-08-10,0.4613913043478261,0.17979375535986555,0.054,0.717,10.612,3.2998789436626375
FMB_Consumos_2023-03_2025-06,2024-12-28,0.5853478260869565,0.6697649932962003,0.025,1.674,13.463,4.860261887164616
FMB_Consumos_2023-03_2025-06,2024-12-29,1.0018695652173912,0.8422978475762719,0.025,2.683,23.043,10.103498856210203
FMB_Consumos_2023-03_2025-06,2024-12-30,0.9250434782608695,0.6832033823540975,0.026,1.871,21.276,9.136400763902943
FMB_Consumos_2023-03_2025-06,2024-12-31,0.4985652173913044,0.6193604345016616,0.025,2.0,11.467,3.767829633488731
FMB_Consumos_2023-03_2025-06,2025-01-01,0.4708695652173913,0.5838230821955808,0.025,1.69,10.83,3.4191926867995828
FMB_Consumos_2023-03_2025-06,2025-01-08,0.47460869565217395,0.5893185385858386,0.026,2.222,10.916,3.4662614111563594
FMB_Consumos_2023-03_2025-06,2025-01-10,0.5077391304347827,0.4508625286745905,0.025,1.135,11.678,3.8833122013873345
FMB_Consumos_2023-03_2025-06,2025-01-13,0.4403913043478261,0.5888091787768408,0.025,2.051,10.129,3.0355278522170193
FMB_Consumos_2023-03_2025-06,2025-06-22,0.4690869565217391,0.32555098930938026,0.055,1.154,10.789,3.3967529461178634
FMB_Consumos_2023-03_2025-06,2025-06-30,0.5521304347826087,0.44066100187908064,0.066,1.439,12.699,4.442116475436973
GPC_Consumos_2023-01_2024-06,2023-01-15,0.33899999999999997,0.36322131995895734,0.03,1.023,7.797,3.023575083703481
GPC_Consumos_2023-01_2024-06,2023-12-31,0.3842173913043478,0.3993999996041494,0.033,1.286,8.837,3.8420126995758475
GPC_Consumos_2023-01_2024-06,2024-11-09,0.3459130434782609,0.3824856400208175,0.033,1.353,7.956,3.1487016038224303
GPC_Consumos_2023-01_2024-06,2024-12-31,0.44356521739130433,0.5524397808471532,0.028,1.691,10.202,4.91621207040833
GPC_Consumos_2023-01_2024-06,2025-01-26,0.36286956521739133,0.44498001020963407,0.032,1.973,8.346,3.455615709774567
GPC_Consumos_2023-01_2024-06,2025-02-08,0.35613043478260875,0.43214899622781894,0.03,1.43,8.191,3.3336370266397437
GPC_Consumos_2023-01_2024-06,2025-03-02,0.38134782608695655,0.5123750054843224,0.036,2.236,8.771,3.7900733893377945
GPC_Consumos_2023-01_2024-06,2025-04-26,0.38365217391304346,0.45519801971685936,0.029,1.721,8.824,3.8317822293774433
JACL_Consumos_2023-01_2024-06,2023-07-11,0.4217826086956522,0.4683895966279023,0.029,1.252,9.701,3.550477907393162
JACL_Consumos_2023-01_2024-06,2023-07-18,0.42195652173913045,0.4383396854517022,0.03,1.212,9.705,3.552609712698252
JACL_Consumos_2023-01_2024-06,2023-08-13,0.3967391304347826,0.38837226955956294,0.049,1.227,9.125,3.243497943460216
JACL_Consumos_2023-01_2024-06,2023-08-15,0.3822608695652174,0.3880370433806199,0.029,1.08,8.792,3.066025151811482
JACL_Consumos_2023-01_2024-06,2023-08-17,0.45208695652173914,0.37977935137553925,0.029,1.174,10.398,3.9219449818050767
JACL_Consumos_2023-01_2024-06,2023-08-18,0.44869565217391305,0.44568144297984946,0.029,1.399,10.32,3.880374778355824
JACL_Consumos_2023-01_2024-06,2023-08-19,0.4898695652173913,0.4274441275926466,0.029,1.083,11.267,4.3850796843358575
JACL_Consumos_2023-01_2024-06,2023-08-20,0.38365217391304346,0.4528705021301395,0.028,1.184,8.824,3.083079594252201
JACL_Consumos_2023-01_2024-06,2023-08-21,0.5564347826086956,0.48950325712417675,0.028,1.235,12.798,5.201028164859018
JACL_Consumos_2023-01_2024-06,2023-08-22,0.5730000000000001,0.4523491210035975,0.032,1.226,13.179,5.404082620168831
JACL_Consumos_2023-01_2024-06,2023-08-23,0.5438695652173913,0.5152985281587069,0.029,1.244,12.509,5.047005231566272
JACL_Consumos_2023-01_2024-06,2023-08-24,0.731,0.5309012063549027,0.029,1.333,16.813,7.3408277398430055
JACL_Consumos_2023-01_2024-06,2023-08-25,0.42247826086956525,0.45213713422178947,0.029,1.265,9.717,3.5590051286135216
JACL_Consumos_2023-01_2024-06,2024-07-19,0.38930434782608697,0.4121905378895684,0.038,1.234,8.954,3.152363266667623
JACL_Consumos_2023-01_2024-06,2024-07-20,0.4685652173913043,0.4417869525715428,0.042,1.175,10.777,4.123933534462345
JACL_Consumos_2023-01_2024-06,2024-07-27,0.3824347826086956,0.40590379806135396,0.04,1.121,8.796,3.0681569571165714
JACL_Consumos_2023-01_2024-06,2024-07-28,0.4322608695652174,0.4426678641427047,0.037,1.322,9.942,3.678919177024828
JACL_Consumos_2023-01_2024-06,2024-07-29,0.41856521739130437,0.3566123214726139,0.037,1.159,9.627,3.5110395092489988
JACL_Consumos_2023-01_2024-06,2024-07-30,0.5376521739130434,0.4576560447934326,0.038,1.186,12.366,4.9707931919093085
JACL_Consumos_2023-01_2024-06,2024-07-31,0.38321739130434784,0.4430873048100052,0.038,1.208,8.814,3.077750080989476
JACL_Consumos_2023-01_2024-06,2024-08-01,0.4975652173913043,0.46089723032037855,0.042,1.237,11.443999999999999,4.479412069086085
JACL_Consumos_2023-01_2024-06,2024-08-09,0.40904347826086956,0.3861188557309629,0.037,1.064,9.408,3.394323168795326
JACL_Consumos_2023-01_2024-06,2024-08-11,0.48295652173913045,0.44742002619674637,0.038,1.19,11.108,4.300340423458535
JACL_Consumos_2023-01_2024-06,2024-08-12,0.47652173913043483,0.45291328384995183,0.037,1.385,10.96,4.221463627170208
JACL_Consumos_2023-01_2024-06,2025-06-19,0.38982608695652177,0.4278881175105466,0.036,1.235,8.966000000000001,3.158758682582893
JACL_Consumos_2023-01_2024-06,2025-06-20,0.41704347826086957,0.349638056782994,0.038,1.127,9.592,3.4923862128294623
JACL_Consumos_2023-01_2024-06,2025-06-22,0.42617391304347824,0.4075004352673541,0.038,1.181,9.802,3.6043059913466817
JACL_Consumos_2023-01_2024-06,2025-06-23,0.42782608695652175,0.4432052317723199,0.038,1.34,9.84,3.6245581417450357
JACL_Consumos_2023-01_2024-06,2025-06-24,0.42282608695652174,0.4472174224299644,0.037,1.193,9.725,3.563268739223701
JACL_Consumos_2023-01_2024-06,2025-06-25,0.46608695652173915,0.4543679839316745,0.037,1.304,10.72,4.093555308864814
JACL_Consumos_2023-01_2024-06,2025-06-29,0.6040434782608696,0.5008304447488708,0.037,1.26,13.893,5.7846098671273785
JACL_Consumos_2023-01_2024-06,2025-06-30,0.4056521739130435,0.4597479159768529,0.037,1.215,9.33,3.3527529653460735
JALG_Consumos_2023-01_2024-06,2023-08-12,0.488,0.4653068391346236,0.111,1.393,11.224,3.0791202329352045
JALG_Consumos_2023-01_2024-06,2023-08-20,0.49278260869565216,0.43772261417080305,0.114,1.439,11.334,3.151878502109213
JALG_Consumos_2023-01_2024-06,2024-07-20,0.5222173913043479,0.4655191585278975,0.112,1.605,12.011000000000001,3.599672576934703
JALG_Consumos_2023-01_2024-06,2024-08-05,0.08686956521739131,0.021857606015102903,0.073,0.14,1.998,-3.0233142343321013
JALG_Consumos_2023-01_2024-06,2024-08-11,0.5221304347826087,0.4171469442804653,0.132,1.211,12.009,3.598349699313357
JALG_Consumos_2023-01_2024-06,2025-06-23,0.5622173913043479,0.5129084586517576,0.107,1.649,12.931000000000001,4.2081962827536845
JLG_Consumos_2023-01_2024-06,2023-07-10,0.39369565217391306,0.3727879527392347,0.067,1.416,9.055,3.0075611620162035
JLG_Consumos_2023-01_2024-06,2023-07-11,0.5065217391304347,0.46573957506170344,0.08,1.623,11.65,4.37974987516616
JLG_Consumos_2023-01_2024-06,2023-08-19,0.46173913043478265,0.24900861930888776,0.075,0.853,10.620000000000001,3.835104644127835
JLG_Consumos_2023-01_2024-06,2023-08-21,0.4979130434782609,0.3399069275075001,0.073,1.108,11.452,4.275051083180152
JLG_Consumos_2023-01_2024-06,2023-08-23,0.6555652173913044,0.43809140039358707,0.075,1.085,15.078,6.192413809146141
JLG_Consumos_2023-01_2024-06,2023-08-24,0.5774347826086956,0.39359298613564986,0.1,1.169,13.281,5.242192954606461
JLG_Consumos_2023-01_2024-06,2023-08-25,0.6419565217391304,0.4963966044734859,0.106,1.365,14.765,6.026905112723815
JLG_Consumos_2023-01_2024-06,2024-07-19,0.4826086956521739,0.40202563680469605,0.069,1.28,11.1,4.088919897427248
JLG_Consumos_2023-01_2024-06,2024-07-29,0.39847826086956517,0.317695232683094,0.061,1.25,9.165,3.0657271575639857
JLG_Consumos_2023-01_2024-06,2024-07-30,0.470304347826087,0.370679405071112,0.082,1.251,10.817,3.9392746543361357
JLG_Consumos_2023-01_2024-06,2024-07-31,0.592,0.4895853533162713,0.077,1.648,13.616,5.419334850138343
JLG_Consumos_2023-01_2024-06,2024-08-01,0.401304347826087,0.3347975554899637,0.073,1.256,9.23,3.1000979731149485
JLG_Consumos_2023-01_2024-06,2024-08-09,0.4221304347826087,0.369473864784633,0.066,1.242,9.709,3.3533844446366547
JLG_Consumos_2023-01_2024-06,2024-08-12,0.45478260869565224,0.43160513904196146,0.058,1.199,10.46,3.750499559694697
JLG_Consumos_2023-01_2024-06,2025-06-20,0.4216086956521739,0.32029684230987343,0.07,1.061,9.697,3.347039063304169
JLG_Consumos_2023-01_2024-06,2025-06-21,0.4160434782608696,0.2453745704874432,0.072,1.06,9.569,3.27935499575766
JLG_Consumos_2023-01_2024-06,2025-06-23,0.41086956521739126,0.34449176060180253,0.061,1.212,9.45,3.2164299642105125
JLG_Consumos_2023-01_2024-06,2025-06-24,0.4920869565217391,0.3492796369989731,0.065,1.346,11.318,4.204194324967399
JLG_Consumos_2023-01_2024-06,2025-06-25,0.47000000000000003,0.30859505681541477,0.139,1.196,10.81,3.935573181892186
JLG_Consumos_2023-01_2024-06,2025-06-28,0.4629130434782609,0.3179230771805541,0.069,0.912,10.647,3.8493817521259266
JLG_Consumos_2023-01_2024-06,2025-06-29,0.6129565217391304,0.5125951333664689,0.086,1.637,14.097999999999999,5.674207666993171
JLG_Consumos_2023-01_2024-06,2025-06-30,0.6435652173913043,0.46320649489940885,0.089,1.355,14.802,6.0464700384989785
JMM_Consumos_2023-01_2024-06,2023-08-18,1.0676521739130433,1.4769232948844475,0.193,4.283,24.555999999999997,5.518019598045683
JMM_Consumos_2023-01_2024-06,2023-08-21,1.8644782608695654,1.8045890206905388,0.19,4.282,42.883,11.07491031260656
JMM_Consumos_2023-01_2024-06,2023-08-22,1.3585217391304347,1.7193613737655147,0.158,4.454,31.246,7.5464802779394065
JMM_Consumos_2023-01_2024-06,2023-08-23,1.683782608695652,1.9596618900514848,0.095,4.334,38.727,9.814778386502176
JMM_Consumos_2023-01_2024-06,2023-08-25,1.0176521739130435,1.533935775848154,0.15,4.533,23.406000000000002,5.169330542458573
JMM_Consumos_2023-01_2024-06,2024-07-19,0.7526521739130435,1.2515213508764462,0.124,4.329,17.311,3.3212785478468763
JMM_Consumos_2023-01_2024-06,2024-07-20,0.8257826086956522,1.4159444312581857,0.086,4.577,18.993000000000002,3.8312741926273315
JMM_Consumos_2023-01_2024-06,2024-07-27,0.9189565217391304,1.5127499486414218,0.101,4.703,21.136,4.481048667517054
JMM_Consumos_2023-01_2024-06,2024-07-31,1.1792608695652174,1.7355627910222746,0.14,5.298,27.122999999999998,6.2963542116910025
JMM_Consumos_2023-01_2024-06,2024-08-11,0.7304347826086957,1.3730629604212008,0.094,5.359,16.8,3.166339324016429
JMM_Consumos_2023-01_2024-06,2025-06-14,2.3570434782608696,1.8464698131166368,0.132,4.885,54.212,14.509952321951255
LFZA_Consumos_2023-01_2024-06,2023-01-20,0.46569565217391307,0.4988178238033135,0.022,1.584,10.711,3.6664986734216236
LFZA_Consumos_2023-01_2024-06,2023-02-08,0.4252608695652174,0.5110572123630587,0.033,1.514,9.781,3.172232803753555
LFZA_Consumos_2023-01_2024-06,2023-02-18,0.4723478260869566,0.5179499456946195,0.027,1.727,10.864,3.7478133810121768
LFZA_Consumos_2023-01_2024-06,2023-02-23,0.41978260869565215,0.5357402658108378,0.036,1.658,9.655,3.105267750443687
LFZA_Consumos_2023-01_2024-06,2024-02-27,0.41686956521739127,0.44544709963931195,0.054,1.436,9.588,3.0696593490805033
LFZA_Consumos_2023-01_2024-06,2024-02-28,0.49369565217391304,0.5417267371170726,0.04,1.804,11.355,4.008764501449835
LFZA_Consumos_2023-01_2024-06,2025-02-22,0.5460434782608696,0.8406996803669965,0.062,2.596,12.559000000000001,4.648652788633012
LFZA_Consumos_2023-01_2024-06,2025-06-11,0.5572173913043479,0.32842530028244277,0.071,0.966,12.816,4.785240238638059
LFZA_Consumos_2023-01_2024-06,2025-06-14,0.46413043478260874,0.33657760206739656,0.01,0.889,10.675,3.6473658010473757
LFZA_Consumos_2023-01_2024-06,2025-06-19,0.4350869565217391,0.3590963295733381,0.014,0.931,10.007,3.292344724769666
LFZA_Consumos_2023-01_2024-06,2025-06-20,0.7036956521739129,0.30298176284489603,0.026,0.99,16.185,6.575758211661416
LFZA_Consumos_2023-01_2024-06,2025-06-22,0.6608260869565218,0.3166563454388991,0.062,0.966,15.199,6.051730096077851
LFZA_Consumos_2023-01_2024-06,2025-06-24,0.6349130434782608,0.3885277471129699,0.062,1.447,14.603,5.734974764548637
LFZA_Consumos_2023-01_2024-06,2025-06-27,0.5692608695652174,0.4720396956912632,0.013,1.643,13.093,4.932457062184354
LFZA_Consumos_2023-01_2024-06,2025-06-30,0.6598260869565218,0.49352679324650034,0.036,1.78,15.176,6.039506316505415
MANA_Consumos_2023-01_2024-06,2023-07-18,0.6963478260869564,0.8223408167982008,0.069,2.201,16.016,3.740669976648823
MANA_Consumos_2023-01_2024-06,2023-07-19,0.7432608695652173,0.6256431031267896,0.115,1.766,17.095,4.160646346744456
MANA_Consumos_2023-01_2024-06,2023-07-20,0.6148695652173913,0.640558726592214,0.09,2.451,14.142,3.0112578195040447
MANA_Consumos_2023-01_2024-06,2023-08-14,0.8461304347826087,0.8033428060495847,0.088,2.196,19.461000000000002,5.081558387195122
MANA_Consumos_2023-01_2024-06,2023-08-15,0.6461739130434783,0.6380194249090421,0.076,1.923,14.862,3.291501551171196
MANA_Consumos_2023-01_2024-06,2023-08-17,0.8308695652173913,0.8401823559825259,0.097,2.588,19.11,4.944939568007386
MANA_Consumos_2023-01_2024-06,2023-08-18,0.7236956521739131,0.7382395789236229,0.084,2.093,16.645,3.9854940144524873
MANA_Consumos_2023-01_2024-06,2023-08-19,0.6366521739130435,0.7264378599900183,0.098,2.036,14.643,3.206260749455771
MANA_Consumos_2023-01_2024-06,2023-08-24,0.8505217391304348,0.9129902851999934,0.088,2.731,19.562,5.120870355109542
MANA_Consumos_2023-01_2024-06,2024-07-19,0.7777391304347827,0.7433224075601567,0.093,2.052,17.888,4.469303678983417
MANA_Consumos_2023-01_2024-06,2024-07-20,0.7431304347826087,0.8387949854809482,0.07,2.224,17.092,4.159478664529177
MANA_Consumos_2023-01_2024-06,2024-07-24,0.6430869565217392,0.7311692947255151,0.063,1.897,14.791,3.263866405409574
MANA_Consumos_2023-01_2024-06,2024-07-29,0.7178695652173913,0.7763956526708312,0.066,2.144,16.511,3.9333375421699897
MANA_Consumos_2023-01_2024-06,2024-07-30,0.8990869565217391,0.8125385536611606,0.086,2.011,20.679,5.555637366598718
MANA_Consumos_2023-01_2024-06,2024-07-31,0.8700869565217392,0.9404631795529592,0.064,2.531,20.012,5.2960226874015115
MANA_Consumos_2023-01_2024-06,2024-08-01,0.7465652173913043,0.7231937893241314,0.071,2.131,17.171,4.190227629531544
MANA_Consumos_2023-01_2024-06,2024-08-05,0.822695652173913,0.8846639030410779,0.07,2.551,18.922,4.871764815849852
MANA_Consumos_2023-01_2024-06,2024-08-06,0.7218260869565217,0.7661439250127825,0.078,2.006,16.602,3.9687572360334773
MANA_Consumos_2023-01_2024-06,2024-08-08,0.6453478260869565,0.6737874367197885,0.07,1.868,14.843,3.284106230474424
MANA_Consumos_2023-01_2024-06,2024-08-09,0.8415652173913044,0.8379043027418822,0.059,2.184,19.356,5.0406895096603295
MANA_Consumos_2023-01_2024-06,2024-08-10,0.7970434782608696,0.8511337614276014,0.075,2.17,18.332,4.642120646844826
MANA_Consumos_2023-01_2024-06,2024-08-27,0.620695652173913,0.662639997886046,0.064,1.812,14.276,3.0634142917865423
MANA_Consumos_2023-01_2024-06,2025-06-26,0.6356956521739131,0.7390319487977997,0.07,2.523,14.621,3.197697746543719
MANA_Consumos_2023-01_2024-06,2025-06-27,0.8311304347826087,0.7627440476420899,0.064,2.163,19.116,4.947274932437946
MBGV_Consumos_2023-01_2024-06,2023-01-22,0.4073478260869565,0.41991304388751427,0.077,1.572,9.369,3.120466188227251
MBGV_Consumos_2023-01_2024-06,2023-02-05,0.41639130434782606,0.3944371984959231,0.066,1.429,9.577,3.254401648327961
MBGV_Consumos_2023-01_2024-06,2023-02-12,0.41365217391304343,0.3917178493734828,0.087,1.64,9.514,3.213834658008996
MBGV_Consumos_2023-01_2024-06,2023-06-25,0.4126521739130435,0.47513286263333776,0.091,1.722,9.491,3.1990244869401674
MBGV_Consumos_2023-01_2024-06,2024-01-14,0.4196086956521739,0.424000186441901,0.058,1.449,9.651,3.302051763940714
MBGV_Consumos_2023-01_2024-06,2024-01-21,0.39956521739130435,0.38039486973012143,0.062,1.307,9.19,3.00520442208289
MBGV_Consumos_2023-01_2024-06,2024-03-03,0.4302608695652174,0.4680323626525399,0.059,1.611,9.896,3.4598122818478005
MBGV_Consumos_2023-01_2024-06,2024-07-28,0.4008260869565217,0.41782746027668505,0.08,1.518,9.219,3.023878116039239
MBGV_Consumos_2023-01_2024-06,2024-08-01,0.42052173913043484,0.4703039509977678,0.086,1.74,9.672,3.3155740940470357
MBGV_Consumos_2023-01_2024-06,2024-10-27,0.400375,0.3331292754028603,0.061,0.946,9.609,3.2750071037280706
MBGV_Consumos_2023-01_2024-06,2025-01-26,0.40330434782608693,0.45270845874204824,0.054,1.816,9.276,3.0605815834706838
MTTA_Consumos_2023-02_2025-06,2023-07-11,0.9558260869565218,0.8599076405042744,0.126,2.452,21.984,4.374086511144569
MTTA_Consumos_2023-02_2025-06,2023-07-18,0.9477391304347826,0.8945580532709639,0.088,2.571,21.798000000000002,4.3195495254277505
MTTA_Consumos_2023-02_2025-06,2023-07-29,0.815608695652174,0.8110252063749276,0.097,3.127,18.759,3.428485549119087
MTTA_Consumos_2023-02_2025-06,2023-08-09,0.9107826086956522,0.8824064697550741,0.09,3.026,20.948,4.070321364893902
MTTA_Consumos_2023-02_2025-06,2023-08-12,1.1789130434782609,1.2077712724851157,0.098,3.741,27.115,5.878544971967124
MTTA_Consumos_2023-02_2025-06,2023-08-14,1.1479565217391303,0.9839729984405461,0.07,2.9,26.403,5.669779736319948
MTTA_Consumos_2023-02_2025-06,2023-08-17,0.763217391304348,0.8887287118801542,0.084,2.926,17.554000000000002,3.0751679803622793
MTTA_Consumos_2023-02_2025-06,2023-08-18,0.9476086956521739,0.8208224666388771,0.146,2.722,21.794999999999998,4.318669896625865
MTTA_Consumos_2023-02_2025-06,2023-08-20,1.0956521739130434,1.2491349955685933,0.094,4.277,25.2,5.317048586764397
MTTA_Consumos_2023-02_2025-06,2023-08-21,1.130086956521739,1.0942945802929382,0.077,3.584,25.992,5.549270590461818
MTTA_Consumos_2023-02_2025-06,2023-08-22,0.8947826086956521,0.9758895222738045,0.082,3.252,20.58,3.962420231862777
MTTA_Consumos_2023-02_2025-06,2023-08-23,1.2821739130434782,1.088967511501936,0.118,2.953,29.49,6.5749177734587585
MTTA_Consumos_2023-02_2025-06,2023-08-24,1.4221739130434783,1.0225476495753996,0.267,2.796,32.71,7.5190526874811
MTTA_Consumos_2023-02_2025-06,2023-12-25,0.8108695652173914,0.8753905260639561,0.077,3.196,18.650000000000002,3.3965257026506293
MTTA_Consumos_2023-02_2025-06,2024-01-06,0.9262173913043479,0.7607430552081503,0.104,2.435,21.303,4.174410773116862
MTTA_Consumos_2023-02_2025-06,2024-08-06,0.8027826086956521,0.6544625106647535,0.21,2.582,18.464,3.34198871693381
