hogar,cluster,estrategia,algoritmo,hour,0,1,2,3,4
JACL,0.0,dia_domingo,Agglomerative_k5,,,,,,
JALG,2.0,dia_domingo,Agglomerative_k5,,,,,,
JLG,0.0,dia_domingo,Agglomerative_k5,,,,,,
JMM,2.0,dia_domingo,Agglomerative_k5,,,,,,
LFZA,0.0,dia_domingo,Agglomerative_k5,,,,,,
MANA,2.0,dia_domingo,Agglomerative_k5,,,,,,
MBGV,1.0,dia_domingo,Agglomerative_k5,,,,,,
MTTA,3.0,dia_domingo,Agglomerative_k5,,,,,,
PAA,2.0,dia_domingo,Agglomerative_k5,,,,,,
RFM,0.0,dia_domingo,Agglomerative_k5,,,,,,
RTF,1.0,dia_domingo,Agglomerative_k5,,,,,,
,,dia_domingo,Agglomerative_k5_profile,0,0.1238235294117647,0.1238627450980392,0.1991323529411764,0.3770980392156862,0.2395098039215686
,,dia_domingo,Agglomerative_k5_profile,1,0.1040846153846153,0.1065096153846153,0.1533461538461538,0.4161538461538461,0.1945576923076923
,,dia_domingo,Agglomerative_k5_profile,2,0.0997509433962264,0.0899308176100629,0.1267028301886792,0.3270943396226415,0.1848490566037736
,,dia_domingo,Agglomerative_k5_profile,3,0.0941076923076923,0.0875544871794871,0.1159086538461538,0.2554423076923077,0.1849807692307692
,,dia_domingo,Agglomerative_k5_profile,4,0.0861346153846153,0.0859230769230769,0.104764423076923,0.1757115384615384,0.184576923076923
,,dia_domingo,Agglomerative_k5_profile,5,0.0898,0.0820576923076923,0.1059567307692307,0.1327499999999999,0.1989230769230769
,,dia_domingo,Agglomerative_k5_profile,6,0.0946692307692307,0.0998397435897436,0.1116875,0.14825,0.2142884615384615
,,dia_domingo,Agglomerative_k5_profile,7,0.1024153846153846,0.1402788461538461,0.1553125,0.1773846153846154,0.2796923076923077
,,dia_domingo,Agglomerative_k5_profile,8,0.1164615384615384,0.2148173076923076,0.2291875,0.2606730769230769,0.2951192307692287
,,dia_domingo,Agglomerative_k5_profile,9,0.1347807692307692,0.2706057692307692,0.3611201923076923,0.3328846153846153,0.3265057692307662
,,dia_domingo,Agglomerative_k5_profile,10,0.1422461538461538,0.301400641025641,0.4269759615384615,0.3866538461538462,0.5712173076923046
,,dia_domingo,Agglomerative_k5_profile,11,0.1479961538461538,0.2850032051282051,0.4536490384615385,0.3345384615384615,0.731526923076919
,,dia_domingo,Agglomerative_k5_profile,12,0.157876923076923,0.3071634615384615,0.5067692307692307,0.2565961538461538,0.8061807692307652
,,dia_domingo,Agglomerative_k5_profile,13,0.2135384615384615,0.3415192307692307,0.6193173076923078,0.3365961538461538,0.7110653846153805
,,dia_domingo,Agglomerative_k5_profile,14,0.2401961538461538,0.2640224358974359,0.5132548076923077,0.4145961538461539,0.6424673076923046
,,dia_domingo,Agglomerative_k5_profile,15,0.1803961538461538,0.238801282051282,0.3882355769230769,0.4218076923076923,0.688349999999998
,,dia_domingo,Agglomerative_k5_profile,16,0.1664846153846154,0.23775,0.3714086538461538,0.2337499999999999,0.6395615384615365
,,dia_domingo,Agglomerative_k5_profile,17,0.1606192307692307,0.2329102564102564,0.4132884615384615,0.3099423076923077,0.6915
,,dia_domingo,Agglomerative_k5_profile,18,0.1650384615384615,0.2714038461538461,0.4498317307692308,0.3638653846153846,0.8298653846153846
,,dia_domingo,Agglomerative_k5_profile,19,0.1711923076923077,0.3916698717948718,0.4595576923076923,0.3531346153846154,0.7844230769230769
