hogar,cluster,estrategia,algoritmo,Unnamed: 0,0,1,2
,,resumen_consumos_2024-07-01_a_2025-06-30,KMeans_k3_profile,std_Fin de semana,0.2043089254332635,0.3598821942917021,0.4949138934694099
,,resumen_consumos_2024-07-01_a_2025-06-30,KMeans_k3_profile,std_invierno,0.2022651582730788,0.3515353834719247,0.4119893505254606
,,resumen_consumos_2024-07-01_a_2025-06-30,KMeans_k3_profile,std_otoño,0.1624676446785933,0.2627271703050419,0.3381941640770383
,,resumen_consumos_2024-07-01_a_2025-06-30,KMeans_k3_profile,std_primavera,0.1717911186074105,0.2760792759533924,0.2591024152854334
,,resumen_consumos_2024-07-01_a_2025-06-30,KMeans_k3_profile,std_verano,0.199728394738767,0.3585581599603448,0.7387112896032166
,,resumen_consumos_2024-07-01_a_2025-06-30,KMeans_k3_profile,Enero,133.6418888888889,246.4854285714286,288.37159999999864
,,resumen_consumos_2024-07-01_a_2025-06-30,KMeans_k3_profile,Febrero,110.443,217.8867142857143,240.8311999999989
,,resumen_consumos_2024-07-01_a_2025-06-30,KMeans_k3_profile,Marzo,127.88577777777778,234.1178571428572,293.9250999999984
,,resumen_consumos_2024-07-01_a_2025-06-30,KMeans_k3_profile,Abril,106.8578888888889,191.5421428571429,331.259
,,resumen_consumos_2024-07-01_a_2025-06-30,KMeans_k3_profile,Mayo,115.30677777777775,185.687,304.64549999999974
,,resumen_consumos_2024-07-01_a_2025-06-30,KMeans_k3_profile,Junio,157.40066666666667,221.10185714285717,427.9075999999992
,,resumen_consumos_2024-07-01_a_2025-06-30,KMeans_k3_profile,Julio,139.10655555555556,234.19057142857145,419.2852999999993
,,resumen_consumos_2024-07-01_a_2025-06-30,KMeans_k3_profile,Agosto,122.66666666666669,198.4272857142857,404.9512999999993
,,resumen_consumos_2024-07-01_a_2025-06-30,KMeans_k3_profile,Septiembre,108.23633333333332,169.09285714285716,255.227899999999
,,resumen_consumos_2024-07-01_a_2025-06-30,KMeans_k3_profile,Octubre,117.55755555555557,187.6482857142857,237.63859999999968
,,resumen_consumos_2024-07-01_a_2025-06-30,KMeans_k3_profile,Noviembre,116.57355555555556,207.75042857142856,244.355899999999
,,resumen_consumos_2024-07-01_a_2025-06-30,KMeans_k3_profile,Diciembre,133.16377777777777,258.07057142857144,267.6891999999983
,,resumen_consumos_2024-07-01_a_2025-06-30,KMeans_k3_profile,total_mean_consumption,8945.29973203088,15332.696825414134,22326.09817684824
ABLD,1.0,resumen_consumos_dia_domingo,KMeans_k3,,,,
AJVG,1.0,resumen_consumos_dia_domingo,KMeans_k3,,,,
ATF,0.0,resumen_consumos_dia_domingo,KMeans_k3,,,,
FJAG,2.0,resumen_consumos_dia_domingo,KMeans_k3,,,,
FMB,1.0,resumen_consumos_dia_domingo,KMeans_k3,,,,
GPC,0.0,resumen_consumos_dia_domingo,KMeans_k3,,,,
JACL,0.0,resumen_consumos_dia_domingo,KMeans_k3,,,,
JALG,2.0,resumen_consumos_dia_domingo,KMeans_k3,,,,
